"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","C2","ke0","Ceff","centr","peri","AUC","Drug"
"1",2,2,2,18.7426802327986,0.709069614864925,2.83811898915451,5.60307646918784,0.151425460708014,4.00259569674998,2,2,0.298947450396277,0.287753406136468,0.309861694297909,0.5,0.287753406136468,5.39327007711445,0.219713512237211,0.782965650169725,"Drug2"
"2",2,2,2,8.74331412420723,1.41556056523462,2.04112667141941,6.31166498782576,0.23344999875599,1.4419211170107,2,2,0.721884733656192,0.262942162816729,0.385722219396158,0.5,0.262942162816729,2.29898592600511,0.546013162911979,1.13361544455921,"Drug2"
"3",2,2,2,10.8522925616402,1.23275723947574,2.17818207578911,4.33253749677351,0.200711698787809,1.76691890831275,2,2,0.39922785643356,0.391594376556967,0.467889302524341,0.5,0.391594376556967,4.24969673988932,0.576793924960135,1.1941060727122,"Drug2"
"4",2,2,2,8.73936936690158,1.85063312245373,1.9155832585069,7.64002185447089,0.219190101491962,1.03509617074564,2,2,0.874207455220485,0.193864005516106,0.326722619410081,0.5,0.193864005516106,1.69424915115229,0.604643701335138,1.00799543433321,"Drug2"
"5",2,2,2,24.5251099322575,0.684828460344051,2.90737356398437,4.2531121722979,0.118546810677507,4.2454041155412,2,2,0.173418679224913,0.282529305974788,0.294139572247555,0.5,0.282529305974788,6.92906228811608,0.201435150388551,0.6746830192219,"Drug2"
"6",2,2,2,9.52369768029374,1.21100288171241,3.32440268714337,5.07280799854714,0.349066381435244,2.74516496809859,2,2,0.532651095072421,0.352341706144324,0.421390603161434,0.5,0.352341706144324,3.35559588947744,0.510305234755029,1.20921171814986,"Drug2"
"7",2,2,2,12.8052260711511,0.83224733083833,2.83324642015076,3.86350176706391,0.221257040243419,3.40433224014885,2,2,0.301712890158808,0.412678816839427,0.449334314095766,0.5,0.412678816839427,5.28444554440402,0.373957283560273,1.12374665104272,"Drug2"
"8",2,2,2,8.36797749232048,0.416454471115334,2.45566462991897,3.70853029458266,0.293459755618679,5.89659806831296,2,2,0.443181198561549,0.487137951395688,0.524552561336096,0.5,0.487137951395688,4.07635941293422,0.218452259503418,1.53839604219935,"Drug2"
"9",2,2,2,6.89163847264283,0.751625745996328,1.76972492146174,4.96036077456229,0.25679305849935,2.354529406275,2,2,0.719765088411563,0.345680129256203,0.462192966506906,0.5,0.345680129256203,2.38230247801019,0.347396133245009,1.4656799614311,"Drug2"
"10",2,2,2,9.25303709746321,0.671427638079096,2.69194467912636,8.75815908536456,0.290925525400128,4.00928488262385,2,2,0.946517234624043,0.170925652087329,0.217823560489994,0.5,0.170925652087329,1.58158139967215,0.146252758737776,0.94450965790441,"Drug2"
"11",2,2,2,6.34428083920409,1.00567551331,2.60210774908283,3.77536103254225,0.410150151771854,2.58742279656233,2,2,0.595081007324367,0.469526513185555,0.577285385288037,0.5,0.469526513185555,2.97880806110143,0.580561776175911,1.70596404084451,"Drug2"
"12",2,2,2,13.0966600540448,1.5703102890646,2.24952429318313,5.55196531818124,0.171763204045933,1.4325349001713,2,2,0.423922228665204,0.307383941097858,0.375720850324494,0.5,0.307383941097858,4.02570298263119,0.589998317080654,0.969800492567195,"Drug2"
"13",2,2,2,9.73480837050325,0.859362371292944,1.37851043673357,5.59458625607318,0.141606324877487,1.60410844456634,2,2,0.574699166449433,0.316492343915049,0.423379566110364,0.5,0.316492343915049,3.08099231874441,0.36383646788958,1.17169901639287,"Drug2"
"14",2,2,2,12.3891423356217,0.831411845826706,1.61610978745542,6.10289804232636,0.130445655048189,1.9438137615762,2,2,0.492600526896773,0.294024554451649,0.368009756737254,0.5,0.294024554451649,3.64271205526923,0.305967671131157,0.991548643223426,"Drug2"
"15",2,2,2,11.1004453064955,0.958128016259934,4.94023356808036,4.94412082705416,0.445048232901932,5.15613100153843,2,2,0.445398422364288,0.362124405005672,0.393165437384049,0.5,0.362124405005672,4.01974215191269,0.376702820582748,1.13337744434602,"Drug2"
"16",2,2,2,15.5486908820582,0.937086601558864,1.66779006379966,3.22039180947783,0.107262410478823,1.77976086844616,2,2,0.207116588393552,0.406548034146279,0.440140098863786,0.5,0.406548034146279,6.32128971164895,0.412449389454047,1.01424332569849,"Drug2"
"17",2,2,2,8.64619937250403,0.97118291853269,2.01086010898047,5.3925747641263,0.232571563798916,2.07052664395969,2,2,0.623693085458491,0.326486909667533,0.428801108331072,0.5,0.326486909667533,2.8228709134982,0.416444311859022,1.25370255774991,"Drug2"
"18",2,2,2,10.2489556052406,1.18564151778493,1.75883734936098,4.2285852653787,0.171611373598071,1.48344784066513,2,2,0.412586943319035,0.402380300884069,0.488274629247742,0.5,0.402380300884069,4.12397784018418,0.578918672517166,1.2526892931942,"Drug2"
"19",2,2,2,13.2740909421368,1.23884482659121,1.75584461392189,5.93528367546719,0.132276072355975,1.41732408791926,2,2,0.447132967623901,0.293991503526798,0.365393485788576,0.5,0.293991503526798,3.90246995403025,0.452665829539307,0.951068984244653,"Drug2"
"20",2,2,2,10.6688706590056,1.115503488224,3.10966967556441,3.76675313131646,0.291471307034689,2.78768261004306,2,2,0.353060155259913,0.440102963092722,0.494257127189842,0.5,0.440102963092722,4.69540158988138,0.551345549459842,1.26189657111867,"Drug2"
"21",2,2,2,9.97837884530782,1.12676497342846,2.56193391441654,5.11104761520748,0.256748511369786,2.27370744994071,2,2,0.512212223492684,0.348176142272449,0.426880587679926,0.5,0.348176142272449,3.47423345249229,0.480994094034298,1.18268756399133,"Drug2"
"22",2,2,2,8.84330426290481,1.04611755687679,1.78005301885854,5.805735382803,0.201288225072766,1.7015802929194,2,2,0.65651200164586,0.297681478967652,0.412270257691985,0.5,0.297681478967652,2.63248789194244,0.431283154749704,1.19472013379278,"Drug2"
"23",2,2,2,7.91866961057301,1.26324409331461,2.3134909702967,2.81234156143449,0.292156521748013,1.83138870986236,2,2,0.355153289597971,0.569449225627907,0.660990261019767,0.5,0.569449225627907,4.50928027774404,0.834992042971705,1.65546309990509,"Drug2"
"24",2,2,2,7.21729172174268,0.782234294597657,1.79013593206368,5.28404359510602,0.248034304429007,2.28849073024143,2,2,0.73213662393435,0.322340529974075,0.436621427418289,0.5,0.322340529974075,2.32642563856404,0.341540254282767,1.38758016946415,"Drug2"
"25",2,2,2,7.72789234029948,0.884375637948305,5.8754291691606,2.60689837986952,0.760288693272985,6.64359002786556,2,2,0.337336270366376,0.62939736036371,0.659289749832231,0.5,0.62939736036371,4.86391504015943,0.583059793100657,1.74652959313582,"Drug2"
"26",2,2,2,11.4879649422201,1.66064073661245,3.14679575846279,5.18829504770454,0.273921079520169,1.89492867968659,2,2,0.451628732660624,0.332066301906922,0.403607770421143,0.5,0.332066301906922,3.8147660347994,0.670247505174675,1.06296700733431,"Drug2"
"27",2,2,2,15.0753646692109,0.782209978534384,2.63469570593501,4.48481531008987,0.174768290104183,3.36827166392278,2,2,0.297492989953961,0.355779998614029,0.387645460664762,0.5,0.355779998614029,5.36351322111786,0.303220147465535,0.966208490607781,"Drug2"
"28",2,2,2,9.53335289238757,0.747041184077506,1.4378725106265,4.39809453389206,0.150825478387006,1.92475668179135,2,2,0.461337640968264,0.403687964139173,0.49671660263563,0.5,0.403687964139173,3.84849982054824,0.371067758983877,1.3143038140548,"Drug2"
"29",2,2,2,10.9616807229364,0.711565288279231,2.1132196121514,4.38668851283953,0.19278244509801,2.9698182963109,2,2,0.400183933806862,0.399299234714944,0.454804045720957,0.5,0.399299234714944,4.37699072385805,0.323622771903993,1.20806081597247,"Drug2"
"30",2,2,2,10.558646882129,0.475644368908936,1.3681759983723,5.38576981120698,0.129578724778457,2.87646840329617,2,2,0.510081440484829,0.337972005439378,0.403677055564358,0.5,0.337972005439378,3.56852706147936,0.192006718336926,1.15850963537289,"Drug2"
"31",2,2,2,14.4906769103516,1.67806312075375,1.25420283790241,5.54262602231271,0.0865523981841353,0.747411001642806,2,2,0.38249600461061,0.299967080248341,0.323050509456775,0.5,0.299967080248341,4.34672604362023,0.542099146060123,0.92215761802146,"Drug2"
"32",2,2,2,9.864853224773,0.771163361868563,2.3393773489768,2.87508267402499,0.237142641220658,3.03356910435732,2,2,0.291447080713271,0.541753401088863,0.592812199309936,0.5,0.541753401088863,5.34431778576321,0.457155048576547,1.46031528191935,"Drug2"
"33",2,2,2,10.5071504659497,0.668448117781715,1.52899726382447,3.62200658829117,0.145519688594873,2.28738360263253,2,2,0.34471825639396,0.461728657588747,0.528958784414929,0.5,0.461728657588747,4.85145247972594,0.353581503826263,1.32384243362462,"Drug2"
"34",2,2,2,8.94376372016304,0.871274017194126,1.61940978738557,5.06444411352697,0.18106580608058,1.85866874878326,2,2,0.566254238370537,0.350700003909965,0.457003155774824,0.5,0.350700003909965,3.13657797163098,0.398174975402324,1.27659559628632,"Drug2"
"35",2,2,2,7.42663420261418,1.131202234828,1.74594889857137,6.07415157480346,0.235092890121988,1.54344541127684,2,2,0.817887539508187,0.262276887386235,0.404889547812095,0.5,0.262276887386235,1.9478345024178,0.458011961343538,1.25024103246623,"Drug2"
"36",2,2,2,7.01123661929342,1.20719279349051,2.08131597823737,5.62370689981207,0.296854334156978,1.72409576122418,2,2,0.802099145297255,0.288144308756885,0.426354903759344,0.5,0.288144308756885,2.02024792919726,0.514692567287621,1.3274268443408,"Drug2"
"37",2,2,2,7.15923230703755,0.924506129144563,2.01239712017509,4.16090684489753,0.281091188813205,2.1767266400247,2,2,0.581194556406186,0.42557542474417,0.54053407500913,0.5,0.42557542474417,3.04679332990969,0.499727065357428,1.550979112317,"Drug2"
"38",2,2,2,8.8567512699167,0.896992087711219,1.05403416950166,4.42132667296884,0.119009119414006,1.1750763289241,2,2,0.499204114265526,0.396135176875941,0.508406579654075,0.5,0.396135176875941,3.50847073085467,0.456036679290029,1.36508632731329,"Drug2"
"39",2,2,2,11.3373439497275,1.03629190378916,1.93647123472455,4.35412087278318,0.170804664947216,1.86865421571269,2,2,0.384051228584966,0.390330606474438,0.461867885696905,0.5,0.390330606474438,4.42531233970644,0.478629950567921,1.17039876903284,"Drug2"
"40",2,2,2,7.00491955951617,1.0132346447486,2.76894163320063,3.93129128992521,0.395285286244155,2.73277433568967,2,2,0.561218620217353,0.453497504830988,0.546712564950451,0.5,0.453497504830988,3.17671354178236,0.553948111527168,1.59472750410457,"Drug2"
"41",2,2,2,13.0199816244127,0.718813242642395,2.31886794275912,5.1279872233271,0.178100707792951,3.22596719870497,2,2,0.393855181309321,0.341875749755938,0.385350295910325,0.5,0.341875749755938,4.45121597965463,0.276994895756507,1.02804256231521,"Drug2"
"42",2,2,2,9.18296585390789,1.04581622021738,1.77420116260662,4.18816089534982,0.193205680041987,1.69647508645242,2,2,0.456079327962165,0.415786653413443,0.513979292704523,0.5,0.415786653413443,3.81815464080629,0.537527881166247,1.34768401192381,"Drug2"
